Max SUM: 6
S P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 SUM
116 4 0 1 2 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0 2
117 4 0 1 2 0 1 0 0 1 1 0 1 0 0 1 1 0 0 0 0 2
118 4 0 1 2 0 1 1 1 0 2 0 1 0 0 0 0 1 0 0 0 2
119 4 0 1 2 0 1 1 1 0 2 0 1 0 0 0 0 0 1 0 0 2
120 4 0 1 1 1 0 0 1 0 2 0 1 0 0 0 1 0 0 1 0 2
121 5 1 0 3 0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 0 1
122 5 1 0 3 0 1 0 1 0 1 0 0 0 1 1 1 0 0 0 0 1
123 5 1 0 3 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 2
124 5 1 0 3 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 2
125 5 1 0 3 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 2
126 5 1 0 3 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 2
127 5 1 0 3 0 1 1 1 0 2 0 1 0 0 0 1 0 0 1 0 0
128 5 1 0 1 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 1 2
129 5 0 1 1 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 1 2
130 1 0 1 1 1 0 4 1 0 2 0 1 0 0 0 1 0 0 0 0 2
131 2 1 0 3 0 1 5 1 0 2 0 1 0 0 0 1 0 0 0 0 0
132 2 1 0 2 1 0 3 0 1 1 0 1 0 0 0 1 0 0 0 0 2
133 2 1 0 2 1 0 3 1 0 1 1 0 0 0 0 1 0 0 0 0 2
134 2 0 1 2 0 1 3 0 1 1 0 1 0 0 0 1 0 0 0 0 2
135 2 0 1 2 0 1 3 1 0 1 1 0 0 0 0 1 0 0 0 0 2
136 2 0 1 1 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 4
137 2 0 1 1 1 0 2 0 0 1 0 1 1 0 0 1 0 0 0 0 3
138 2 0 1 1 1 0 2 1 0 1 0 0 0 1 0 1 0 0 0 0 3
139 3 1 0 3 0 1 2 0 1 0 1 0 0 0 0 1 0 0 0 0 2
140 3 1 0 3 0 1 3 0 0 1 0 1 1 0 0 1 0 0 0 0 1
141 3 1 0 3 0 1 3 1 0 1 0 0 0 1 0 1 0 0 0 0 1
142 3 1 0 2 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 3
143 3 1 0 2 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 3
144 3 1 0 2 1 0 2 1 0 2 0 1 0 0 1 1 0 0 0 0 1
145 3 0 1 2 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 3
146 3 0 1 2 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 3
147 3 0 1 2 0 1 2 1 0 2 0 1 0 0 1 1 0 0 0 0 1
148 3 0 1 1 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 4
149 3 0 1 1 1 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 3
150 3 0 1 1 1 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 3
151 3 0 1 1 1 0 1 1 0 2 0 1 0 0 0 0 1 0 0 0 3
152 3 0 1 1 1 0 1 1 0 2 0 1 0 0 0 0 0 1 0 0 3
153 4 1 0 3 0 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 2
154 4 1 0 3 0 1 1 1 0 1 1 0 0 0 1 1 0 0 0 0 1
155 4 1 0 3 0 1 1 0 1 1 0 1 0 0 1 1 0 0 0 0 1
156 4 1 0 3 0 1 2 1 0 2 0 1 0 0 0 0 1 0 0 0 1
157 4 1 0 3 0 1 2 1 0 2 0 1 0 0 0 0 0 1 0 0 1
158 4 1 0 2 1 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 2
159 4 1 0 2 1 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 2
160 4 1 0 2 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 3
161 4 1 0 2 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 3
162 4 1 0 2 1 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 3
163 4 1 0 2 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 3
164 4 1 0 2 1 0 1 1 0 2 0 1 0 0 0 1 0 0 1 0 1
165 4 0 1 2 0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 0 2
166 4 0 1 2 0 1 0 1 0 1 0 0 0 1 1 1 0 0 0 0 2
167 4 0 1 2 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 3
168 4 0 1 2 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 3
169 4 0 1 2 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 3
170 4 0 1 2 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 3
171 4 0 1 2 0 1 1 1 0 2 0 1 0 0 0 1 0 0 1 0 1
172 4 0 1 0 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 1 3
173 5 1 0 3 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 2
174 5 1 0 3 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 2
175 5 1 0 3 0 1 0 1 0 2 0 1 0 0 2 1 0 0 0 0 0
176 5 1 0 3 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 2
177 5 1 0 3 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 0 2
178 5 1 0 3 0 1 0 1 0 1 1 0 0 0 0 1 0 0 1 0 1
179 5 1 0 3 0 1 0 0 1 1 0 1 0 0 0 1 0 0 1 0 1
180 5 1 0 2 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 1 1
181 1 1 0 2 1 0 5 1 0 2 0 1 0 0 0 1 0 0 0 0 1
182 1 0 1 2 0 1 5 1 0 2 0 1 0 0 0 1 0 0 0 0 1
183 1 0 1 1 1 0 3 0 1 1 0 1 0 0 0 1 0 0 0 0 3
184 1 0 1 1 1 0 3 1 0 1 1 0 0 0 0 1 0 0 0 0 3
185 2 1 0 3 0 1 4 0 1 1 0 1 0 0 0 1 0 0 0 0 1
186 2 1 0 3 0 1 4 1 0 1 1 0 0 0 0 1 0 0 0 0 1
187 2 1 0 2 1 0 2 0 1 0 1 0 0 0 0 1 0 0 0 0 3
188 2 1 0 2 1 0 3 0 0 1 0 1 1 0 0 1 0 0 0 0 2
189 2 1 0 2 1 0 3 1 0 1 0 0 0 1 0 1 0 0 0 0 2
190 2 0 1 2 0 1 2 0 1 0 1 0 0 0 0 1 0 0 0 0 3
191 2 0 1 2 0 1 3 0 0 1 0 1 1 0 0 1 0 0 0 0 2
192 2 0 1 2 0 1 3 1 0 1 0 0 0 1 0 1 0 0 0 0 2
193 2 0 1 1 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 4
194 2 0 1 1 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 4
195 2 0 1 1 1 0 2 1 0 2 0 1 0 0 1 1 0 0 0 0 2
196 3 1 0 3 0 1 2 0 0 0 1 0 1 0 0 1 0 0 0 0 2
197 3 1 0 3 0 1 2 0 1 0 0 0 0 1 0 1 0 0 0 0 2
198 3 1 0 3 0 1 3 1 0 2 0 1 0 0 1 1 0 0 0 0 0
199 3 1 0 2 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 3
200 3 1 0 2 1 0 1 1 0 1 1 0 0 0 1 1 0 0 0 0 2
201 3 1 0 2 1 0 1 0 1 1 0 1 0 0 1 1 0 0 0 0 2
202 3 1 0 2 1 0 2 1 0 2 0 1 0 0 0 0 1 0 0 0 2
203 3 1 0 2 1 0 2 1 0 2 0 1 0 0 0 0 0 1 0 0 2
204 3 0 1 2 0 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 3
205 3 0 1 2 0 1 1 1 0 1 1 0 0 0 1 1 0 0 0 0 2
206 3 0 1 2 0 1 1 0 1 1 0 1 0 0 1 1 0 0 0 0 2
207 3 0 1 2 0 1 2 1 0 2 0 1 0 0 0 0 1 0 0 0 2
208 3 0 1 2 0 1 2 1 0 2 0 1 0 0 0 0 0 1 0 0 2
209 3 0 1 1 1 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 3
210 3 0 1 1 1 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 3
211 3 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 4
212 3 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 4
213 3 0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 4
214 3 0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 4
215 3 0 1 1 1 0 1 1 0 2 0 1 0 0 0 1 0 0 1 0 2
216 4 1 0 3 0 1 1 0 0 1 0 1 1 0 1 1 0 0 0 0 1
217 4 1 0 3 0 1 1 1 0 1 0 0 0 1 1 1 0 0 0 0 1
218 4 1 0 3 0 1 1 1 0 1 1 0 0 0 0 0 1 0 0 0 2
219 4 1 0 3 0 1 1 1 0 1 1 0 0 0 0 0 0 1 0 0 2
220 4 1 0 3 0 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 2
221 4 1 0 3 0 1 1 0 1 1 0 1 0 0 0 0 1 0 0 0 2
222 4 1 0 3 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 2
223 4 1 0 3 0 1 2 1 0 2 0 1 0 0 0 1 0 0 1 0 0
224 4 1 0 2 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 3
225 4 1 0 2 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 3
226 4 1 0 2 1 0 0 1 0 2 0 1 0 0 2 1 0 0 0 0 1
227 4 1 0 2 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 3
228 4 1 0 2 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 3
229 4 1 0 2 1 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 2
230 4 1 0 2 1 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 2
231 4 1 0 1 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 1 2
232 4 0 1 2 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 3
233 4 0 1 2 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 3
234 4 0 1 2 0 1 0 1 0 2 0 1 0 0 2 1 0 0 0 0 1
235 4 0 1 2 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 3
236 4 0 1 2 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 0 3
237 4 0 1 2 0 1 0 1 0 1 1 0 0 0 0 1 0 0 1 0 2
238 4 0 1 2 0 1 0 0 1 1 0 1 0 0 0 1 0 0 1 0 2
239 4 0 1 1 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 1 2
240 5 1 0 3 0 1 0 0 0 1 0 1 1 0 0 1 0 0 1 0 1
241 5 1 0 3 0 1 0 1 0 2 0 1 0 0 1 0 1 0 0 0 1
242 5 1 0 3 0 1 0 1 0 2 0 1 0 0 1 0 0 1 0 0 1
243 5 1 0 3 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 0 1
244 5 1 0 2 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 1 2
245 5 1 0 2 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 1 2
246 0 0 1 1 1 0 5 1 0 2 0 1 0 0 0 1 0 0 0 0 2
247 1 1 0 3 0 1 6 1 0 2 0 1 0 0 0 1 0 0 0 0 0
248 1 1 0 2 1 0 4 0 1 1 0 1 0 0 0 1 0 0 0 0 2
249 1 1 0 2 1 0 4 1 0 1 1 0 0 0 0 1 0 0 0 0 2
250 1 0 1 2 0 1 4 0 1 1 0 1 0 0 0 1 0 0 0 0 2
251 1 0 1 2 0 1 4 1 0 1 1 0 0 0 0 1 0 0 0 0 2
252 1 0 1 1 1 0 2 0 1 0 1 0 0 0 0 1 0 0 0 0 4
253 1 0 1 1 1 0 3 0 0 1 0 1 1 0 0 1 0 0 0 0 3
254 1 0 1 1 1 0 3 1 0 1 0 0 0 1 0 1 0 0 0 0 3
255 2 1 0 3 0 1 3 0 1 0 1 0 0 0 0 1 0 0 0 0 2
256 2 1 0 3 0 1 4 0 0 1 0 1 1 0 0 1 0 0 0 0 1
257 2 1 0 3 0 1 4 1 0 1 0 0 0 1 0 1 0 0 0 0 1
258 2 1 0 2 1 0 2 0 0 0 1 0 1 0 0 1 0 0 0 0 3
259 2 1 0 2 1 0 2 0 1 0 0 0 0 1 0 1 0 0 0 0 3
260 2 1 0 2 1 0 3 1 0 2 0 1 0 0 1 1 0 0 0 0 1
261 2 0 1 2 0 1 2 0 0 0 1 0 1 0 0 1 0 0 0 0 3
262 2 0 1 2 0 1 2 0 1 0 0 0 0 1 0 1 0 0 0 0 3
263 2 0 1 2 0 1 3 1 0 2 0 1 0 0 1 1 0 0 0 0 1
264 2 0 1 1 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 4
265 2 0 1 1 1 0 1 1 0 1 1 0 0 0 1 1 0 0 0 0 3
266 2 0 1 1 1 0 1 0 1 1 0 1 0 0 1 1 0 0 0 0 3
267 2 0 1 1 1 0 2 1 0 2 0 1 0 0 0 0 1 0 0 0 3
268 2 0 1 1 1 0 2 1 0 2 0 1 0 0 0 0 0 1 0 0 3
269 3 1 0 3 0 1 2 0 0 0 0 0 1 1 0 1 0 0 0 0 2
270 3 1 0 3 0 1 2 1 0 1 1 0 0 0 1 1 0 0 0 0 1
271 3 1 0 3 0 1 2 0 1 1 0 1 0 0 1 1 0 0 0 0 1
272 3 1 0 3 0 1 3 1 0 2 0 1 0 0 0 0 1 0 0 0 1
273 3 1 0 3 0 1 3 1 0 2 0 1 0 0 0 0 0 1 0 0 1
274 3 1 0 2 1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 0 2
275 3 1 0 2 1 0 1 1 0 1 0 0 0 1 1 1 0 0 0 0 2
276 3 1 0 2 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 3
277 3 1 0 2 1 0 1 1 0 1 1 0 0 0 0 0 0 1 0 0 3
278 3 1 0 2 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 3
279 3 1 0 2 1 0 1 0 1 1 0 1 0 0 0 0 1 0 0 0 3
280 3 1 0 2 1 0 1 0 1 1 0 1 0 0 0 0 0 1 0 0 3
281 3 1 0 2 1 0 2 1 0 2 0 1 0 0 0 1 0 0 1 0 1
282 3 0 1 2 0 1 1 0 0 1 0 1 1 0 1 1 0 0 0 0 2
283 3 0 1 2 0 1 1 1 0 1 0 0 0 1 1 1 0 0 0 0 2
284 3 0 1 2 0 1 1 1 0 1 1 0 0 0 0 0 1 0 0 0 3
